FeedbackID,CustomerID,FeedbackText,Rating,SubmissionDate
1,15,Too expensive,4,2023-10-22
2,35,Excellent features,2,2024-02-05
3,9,Great service,1,2024-03-21
4,40,Too expensive,2,2024-07-10
5,17,Too expensive,3,2024-04-25
6,32,Excellent features,3,2024-04-17
7,48,Too expensive,5,2023-01-19
8,45,Excellent features,1,2024-07-05
9,48,Great service,3,2024-09-08
10,1,Needs improvement,3,2023-04-20
11,6,Too expensive,4,2023-10-09
12,9,Great service,2,2024-07-31
13,49,Excellent features,3,2023-08-10
14,27,Excellent features,3,2024-01-11
15,17,Needs improvement,2,2023-10-28
16,37,Needs improvement,2,2024-01-29
17,24,Excellent features,5,2024-04-27
18,30,Great service,1,2023-03-15
19,35,Excellent features,1,2024-03-10
20,5,Great service,5,2024-01-03
21,37,Needs improvement,1,2023-02-25
22,11,Excellent features,3,2024-04-02
23,44,Too expensive,1,2023-08-31
24,36,Too expensive,5,2024-10-23
25,7,Needs improvement,5,2023-08-30
26,48,Great service,5,2024-04-05
27,18,Needs improvement,4,2024-03-12
28,4,Excellent features,2,2023-11-13
29,36,Excellent features,5,2023-12-14
30,25,Needs improvement,5,2023-06-01
31,43,Too expensive,5,2024-08-25
32,13,Needs improvement,2,2024-04-23
33,34,Great service,1,2023-04-28
34,41,Great service,4,2023-02-15
35,36,Needs improvement,3,2023-02-22
36,30,Excellent features,3,2023-08-02
37,33,Great service,5,2023-01-30
38,11,Too expensive,4,2024-11-12
39,46,Too expensive,5,2024-08-08
40,27,Excellent features,4,2023-03-13
41,46,Excellent features,1,2024-12-21
42,35,Excellent features,4,2023-06-26
43,15,Excellent features,3,2024-05-19
44,39,Needs improvement,2,2023-06-02
45,36,Great service,5,2024-09-19
46,10,Needs improvement,5,2024-01-07
47,15,Too expensive,5,2024-08-10
48,36,Too expensive,1,2023-03-22
49,15,Excellent features,3,2023-02-28
50,10,Too expensive,2,2024-08-19
