UsageID,CustomerID,FeatureName,UsageFrequency,LastUsedDate
1,25,Feature_9,5,2024-09-04
2,3,Feature_8,40,2024-09-09
3,7,Feature_5,15,2024-03-21
4,5,Feature_2,27,2024-08-17
5,47,Feature_6,8,2024-01-07
6,15,Feature_2,5,2023-08-27
7,45,Feature_10,19,2023-03-30
8,32,Feature_7,17,2024-04-13
9,15,Feature_3,14,2023-08-02
10,43,Feature_9,19,2023-08-04
11,37,Feature_10,14,2024-09-02
12,11,Feature_1,22,2023-06-10
13,42,Feature_8,30,2024-04-26
14,26,Feature_5,14,2024-04-22
15,30,Feature_1,19,2023-12-10
16,40,Feature_8,4,2023-12-25
17,13,Feature_3,47,2023-08-16
18,36,Feature_3,26,2023-07-10
19,42,Feature_1,45,2024-02-16
20,34,Feature_6,30,2024-06-20
21,19,Feature_4,24,2023-11-11
22,26,Feature_5,47,2023-12-06
23,25,Feature_5,15,2024-02-07
24,40,Feature_10,46,2024-06-29
25,10,Feature_1,39,2024-02-13
26,45,Feature_9,1,2024-10-28
27,17,Feature_4,38,2024-02-09
28,1,Feature_4,25,2024-04-10
29,50,Feature_4,20,2024-09-19
30,39,Feature_9,8,2024-11-11
31,21,Feature_6,8,2024-02-20
32,4,Feature_5,49,2023-12-31
33,27,Feature_4,31,2023-05-24
34,30,Feature_4,16,2024-08-30
35,40,Feature_9,46,2023-07-02
36,34,Feature_4,9,2023-11-05
37,27,Feature_7,30,2024-11-25
38,32,Feature_3,48,2024-08-05
39,43,Feature_1,43,2024-01-18
40,25,Feature_1,14,2024-04-11
41,19,Feature_1,30,2023-10-01
42,26,Feature_9,29,2023-09-20
43,18,Feature_8,31,2024-08-22
44,22,Feature_4,43,2024-11-08
45,15,Feature_4,13,2024-10-20
46,12,Feature_5,40,2024-06-30
47,27,Feature_9,42,2024-09-23
48,19,Feature_9,19,2024-06-04
49,40,Feature_4,28,2024-01-05
50,2,Feature_9,27,2024-04-30
